,,,,,salazar,constantin,fiori,adbdal,apophis,vitas,owen,octavian,vladislav,anatolio,lutz,gabor,ezio,isla,harvey,salvatore,,,
SESSION LOG,,91,,,6,6,6,3,4,60,76,82,42,9,19,26,13,18,8,7,Sessions,,
,,,,,18,18,18,9,12,117,149,161,82,18,37,52,26,36,16,14,XP TOTAL,,
season,episode,session,date,weekday,salazar,constantin,fiori,adbdal,apophis,vitas,owen,octavian,vladislav,anatolio,lutz,gabor,ezio,isla,harvey,salvatore,Log,Localidade,# of players
1,1,1,10/06/2020,4,,,,,,2,2,2,2,,,,,,,,"O grupo recebeu a aparição e as cartas dos seus senhores para irem até Vienna, viajaram até lá e foram encaminhados pelos guardas do príncipe para uma determinada estalagem na qual vários outros vampiros estavam. Se alimentaram e dormiram.",Vienna,4
1,2,2,17/06/2020,4,,,,,,2,2,2,2,,,,,,,,"No segundo dia, cada um fez coisas diferentes até irem em direção da praça principal e na igreja de St Stephen onde havia um palco armado para queimar um pagão. Este pagão na verdade escapou virando névoa, deixando todos em panico e o grupo seguiu essa névoa.",Vienna,4
1,3,3,24/06/2020,4,,,,,,2,2,2,2,,,,,,,,"Seguindo a névoa entre os becos, foram supreendidos por um grupo Anda e teve combate. Antes do fim usaram Dominate no lider do grupo e concluíram que era apenas um chamariz para que outros ataques rolassem na cidade. Ao voltar para a estalagem, todos os vampiros estavam mortos e apenas Valquiria conseguiu se esconder junto do cavalo do Octavian. Vitas age isolado do grupo e após alvejar um vampiro Anda comete sua primeira diablerie.",Vienna,4
1,4,4,01/07/2020,4,,,,,,2,2,2,2,,,,,,,,"Se reagruparam na estalagem e enquanto decidiam o que fazer, foram abordados por um servo do Jurgen chamado Wilfred que os entregou cartas nomeadas. Nesta carta Jurgen os pede para irem até a Itália conseguir falar com os lords vampiros locais e pedir reforços para o contra ataque contra os Anda.  Após isso decidiram visitar o palacio Liechtenstein para tentar pegar outras pistas que pudessem estar por lá. Chegando no local encontraram Kasper, que os avisou que a região ainda não está segura e somente os carniçais estão por lá limpando todos os destroços.",Vienna,4
1,5,5,08/07/2020,4,,,,,,2,2,2,2,,,,,,,,"Entraram no castelo, encontraram dois mongois roubando documentos. Rolou porrada e conseguiram impedir que os Anda escapassem. Vitas comete a segunda e terceira diablerie em cima dos Anda. As cartas contavam dos assuntos do concílio e detalhava as agendas que cada príncipe visitante estava propondo em troca de suporte mútuo. Vladislav age isolado do grupo e após se alimentar de um carniçal, é supreendido por 2 Andas no meio do mato e se transforma em Zulo, um deles é diablerizado e o outro conseguiu escapar. Reforços Anda chegam ao castelo.","Castelo Liechtenstein, Austria",4
1,6,6,15/07/2020,4,,,,,,2,2,2,2,,,,,,,,"Vladislav chega a tempo de avisar dos reforços e o grupo tem tempo para preparar dentro dos muros do castelo uma emboscada para o grupo de 5 Anda que chegou a cavalo. Com uso de Animalismo, os Anda percebem a emboscada e engajam em um combate longo no qual conseguem a vitoria com a participação de Kaspar. Vladislav diableriza 2 e Vitas diableriza 3 Andas (entre eles o lider). Vitas é repreendido por Kaspar, resultando em Vitas e Vladislav matando Kaspar e o Vitas o diablerizou.","Castelo Liechtenstein, Austria",4
1,7,7,29/07/2020,4,,,,,,2,2,2,2,,,,,,,,"Ainda no castelo, Octavian partiu para fazer contato com Kaspar e contar tudo (menos a diablerie). Kaspar ofereceu e Octavian passar reportes semanais do que o grupo estava fazendo em nome de não condenar os diableristas imediatamente. O grupo parte para Graz, encontra o padre Theodor que os proveu um lugar para dormir e uma charrete dirigida pelo seu ghoul Arnold. Chegando em Veneza, exploraram a cidade e na praça de são marco visitaram a feira para adquirir algumas armas de prata. Encontraram alguém que os botaria em contato com Iacomo e o contato arrumeu convites para o baile que o Iacomo vai dar.",Venice,4
1,8,8,05/08/2020,4,,,,,,2,2,2,2,,,,,,,,"Octavian e Owen foram à festa do Iacomo, onde conheceram Matteo seu braço direito. Oferecendo os próprios serviços como moeda para ganhar o apoio de Iacomo, ele menciona duas missões: eliminar Anatólio, o gárgula que causa distúrbios na cidade e ainda que sequestrem a princesa Helena, membra da corte de Jacopo (doge of Venice). Ao conseguirem um rastro do gárgulo, o grupo o segue até sua caverna sub aquática, onde Viktor consegue chegar e estabelecer um diálogo. Para que o gárgula abandone a cidade, ele aceita receber o direito de vingança sobre o padre Angelo e irá se juntar ao grupo para a ação.",Venice,4
1,9,9,13/08/2020,5,,,,,,2,2,2,2,,,,,,,,"O grupo debate sobre as possíveis formas de se resolver as demandas do Iacomo. Se aproximaram do palácio e buscaram possíveis entradas. Owen usando dominação convenceu um dos guardas de abrir o portão, os deixando passar para o pátio interno do palácio do duque. Owen usou dominação em um cardeal que passava e descobriu a localização aproximada do Inquisidor e da princesa Helena. Ao final, ao perceber que estava sendo manipulado, o cardeal Danilo estende a mão com o anel da igreja e Owen, surtado, decepa os dedos do cardeal e leva o anel embora. Com outro truque de dominação manteve o cardeal catatônico por algum momento. Vitas chama todos os morcegos da região e os faz voar dentro do pátio interno apagando todas as tochas.",Venice,4
1,10,10,20/08/2020,5,,,,,,2,2,2,2,2,,,,,,," Com a escuridão instalada e uma galera em panico, o grupo se deslocou até o segundo andar onde estava rolando a festa. Enquanto os guardas se aproximavam, Vitas convocou todos os ratos da região e os fez correr pelo pátio e salão de festas. Para identificar Helena, aos poucos foram isolando as suspeitas até que durante o movimento de pânico o gárgula Anatolio mergulha pela janela e sequestra a Helena, voando com ela até o seu esconderijo. O grupo se mescla com a multidão e com mais dominação do Owen conseguem sair do palácio. Se reencontram no esconderijo e interrogam Helena com dominação. Ela revela alguns segredos do Inquisidor como o fato dele curtir os  meninos do coral e que a noite vai dormir na ilha em frente ao palacio. Vitas fez uma leve espionagem e conseguiu identificar qual o horário usual e o barco que ele toma nesse trajeto. Anatolio se encarrega de sequestra-lo do barco e leva-lo até o esconderijo onde o grupo irá realizar um interrogatório.",Venice,5
1,11,11,24/08/2020,2,,,,,,2,2,2,2,2,,,,,,,"Encontraram Iacomo para entregar a princesa, abriram o jogo em relação ao Anatolio estar se juntando ao grupo e saíram de Veneza. Quando foram buscar seus cavalos/carruagem, foram emboscados por uma party de cruzados de Veneza que abertamente pediram para entregar Vitas. O combate foi vencido e todos recuperaram o sangue.",Venice,5
